media_item_id,create_time,mime_type,source_filename,target_file,status,notes
AGpyBSZCrj5av2YPo5AwxQ5bXe7ejHfthKlC_lHq7i9iLTsK0m2HWJNIbzYGeMNPwu7iUNwFRPHheaNtdKC879YGcgiFvWFVNw,2026-05-17T14:55:11.008Z,image/jpeg,20260517_195508.jpg,20260517_195511_gp_iFvWFVNw.jpg,skipped_already_imported,Media item ID already exists in import history and target file exists.
AGpyBSZNNVizb0MEVmQNtllg5f27BAD73iDizujXi2gm8iursibBlAqPRDIr_UMslvcfbChvYA53No2JxKKEvXYQVG-GpRFO_Q,2026-05-17T14:54:30.017Z,image/jpeg,20260517_195427.jpg,20260517_195430_gp_VGGpRFOQ.jpg,skipped_already_imported,Media item ID already exists in import history and target file exists.
AGpyBSavv_z8gRZ576zL5p3ocRMeqNdI4SdkTOKluaEsO0jFSWI3oPznEdxDV2vgCn3MQlpH_M_hKZqYw9MlOvJq78req8G3Bg,2026-05-17T14:54:06.008Z,image/jpeg,20260517_195403.jpg,20260517_195406_gp_req8G3Bg.jpg,skipped_already_imported,Media item ID already exists in import history and target file exists.
AGpyBSYhgu4rJ24zvO7KW6Q4q698U7_a_lpmicja07rgTalHNM-9ZVi5U-RRbX8x0PbX1gXK9DCcKhnqblxh25AlDvwrE9dLVw,2026-05-17T14:53:30.070Z,image/jpeg,20260517_195326.jpg,20260517_195330_gp_wrE9dLVw.jpg,skipped_already_imported,Media item ID already exists in import history and target file exists.
AGpyBSZmb4tO1KOGmDSmaPFTQc3--mjOYuCIPDfHCNjZwGidy_U0-WVCTy1l2s5Gwh_i3WUYa5IasNBN0nC4xKSJsY4zDAINsA,2026-05-17T14:53:21.097Z,image/jpeg,20260517_195318.jpg,20260517_195321_gp_4zDAINsA.jpg,skipped_already_imported,Media item ID already exists in import history and target file exists.
AGpyBSYhau1be1Jtmg8J7CumbC_v-r_2X_c7pAFfjxdzW5VN70oSX4GUV9GWzFU2nhvYrEzbHjDsbl_psCTeAv_09velCiXzKw,2026-05-17T14:51:08Z,image/jpeg,20260517_195106.jpg,20260517_195108_gp_elCiXzKw.jpg,skipped_already_imported,Media item ID already exists in import history and target file exists.
AGpyBSYHo9Iw0JfajQ0h-AFrRdw_w3v-Tx1cMIR3SijpNQJqATfZEujwj57m_6z4s_anZUfrsQwyD1-V1rxmt7ZgVU6F-xmsPQ,2026-05-17T14:50:57.063Z,image/jpeg,20260517_195054.jpg,20260517_195057_gp_U6FxmsPQ.jpg,skipped_already_imported,Media item ID already exists in import history and target file exists.
AGpyBSZXi4y5SqQ0rWTA9pObdGiuyRbu7dtVB8QCurK10GoHudV8-oV-aWkobdasJbk3xEeQOfelSHq4S972OPhtslrA-Sxesw,2026-05-17T14:50:32.066Z,image/jpeg,20260517_195029.jpg,20260517_195032_gp_lrASxesw.jpg,skipped_already_imported,Media item ID already exists in import history and target file exists.
AGpyBSbZ7HjFK9BcF3R02EWlnY16ubMUI6d1-dFoKLYaa9tvmRFDFHhy6Y8Sux6zXo4GUSCQGE93pIB3Vp6tgz9Qe3eXh30voQ,2026-05-17T14:48:41.064Z,image/jpeg,20260517_194838.jpg,20260517_194841_gp_eXh30voQ.jpg,skipped_already_imported,Media item ID already exists in import history and target file exists.
AGpyBSb9UUAk_EwoswL8A6_RgqzXHxZA7njvopT67a-qgPb9htIpdNawGfSByR1VwOmQm7hutnJ6h_Qr0ja2cMF8wTjCrFS5PA,2026-05-17T14:49:11.033Z,image/jpeg,20260517_194908.jpg,20260517_194911_gp_jCrFS5PA.jpg,skipped_already_imported,Media item ID already exists in import history and target file exists.
AGpyBSatsPAxer00u_70Z0hMA2bAXwAJifmbP75DxOT6-xghHXy8KehIIYlg6I88N50XHHiGGR-50AXrDmlcz-u6OQeou5ctOQ,2026-05-17T14:48:06.090Z,image/jpeg,20260517_194804.jpg,20260517_194806_gp_eou5ctOQ.jpg,skipped_already_imported,Media item ID already exists in import history and target file exists.
AGpyBSZppzMuQ54iQKiYOKE8TSA4UyAqBg1zWchIWsNPvf2qfp5uNIPbKtOHgUhAe9tbWl4SwXVAgDogYhKjaQxQgotwKRWGFA,2026-05-17T14:47:06.083Z,image/jpeg,20260517_194704.jpg,20260517_194706_gp_twKRWGFA.jpg,downloaded,
AGpyBSYPkXOrJpqaTwdR9kiKNvYi1BYWMZ69vriENG8Eto7m1lUh89wv0tHcZ38nozjnkOwveQEaUH8ByEA8f-5Or3rAjY3gjg,2026-05-17T14:46:33.075Z,image/jpeg,20260517_194629.jpg,20260517_194633_gp_rAjY3gjg.jpg,downloaded,
AGpyBSbFlvm0wJ9pkj0U47QMV44-1u_QNnBaY_FUExfNban8Fx8V6ZMV5zCPGeCUVxtC4EIx1QhoKoC85LNiSj7Bg8CO7MuMdA,2026-05-17T14:41:43.013Z,image/jpeg,20260517_194140.jpg,20260517_194143_gp_CO7MuMdA.jpg,downloaded,
