Item,Price,Vendor,Received,Paid,Plan_Timing,Plan_Decision,Inventory_Group,Restore_Replace,Build_State,Reconciled_Status,Reconciled_Note,Procured_Mark,Estimate_Range_PKR,Estimate_Avg_PKR,Estimate_Priority,Estimate_Source,Source_Tab,Source_Row,Inventory_ID,Purchase_Priority,Priority_Order,Priority_Basis,New_vs_Refresh_Decision,Photo_Evidence_Level,Photo_Evidence_Basis,Decision_Confidence,Lead_Time_Risk,Sourcing_Region
Rubber grommet set,,Use local electrical markets first; avoid duplicate online orders.,Needs check,9200 COD (ref Wiring),in_flight_now,track_in_flight_order,replacement_part,replace_or_procure,ordered_in_flight,needs_confirmation,Already ordered/in-flight in procurement and mirrored by Wiring grommet entry; avoid duplicate buy. | RR action=Use local electrical markets first; avoid duplicate online orders.; evidence=Already ordered; do not rebuy.,ordered/in-flight,,,,,Parts,35,INV-0034,P1 - In flight / immediate,1,procurement_pass2,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
"Schneider Harmony 22mm 2-position maintained selector switch (1NO, black) x 4",31900,purchaser.com.pk | https://purchaser.com.pk/schneider-harmony-22mm-push-button-2-position-selector-switch-black-maintained-1-no-600-v/,No,Ordered (combined total),in_flight_now,track_in_flight_order,replacement_part,replace_or_procure,ordered_in_flight,needs_confirmation,"Combined order total PKR 31,900 for both selector lines (4x 2-position + 3x 3-position); awaiting delivery.",ordered/in-flight,,,,,Parts,38,INV-0037,P1 - In flight / immediate,1,decision_or_timing,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
"Schneider Harmony XB4 22mm 3-position maintained selector switch (2NO, long handle) x 3",,purchaser.com.pk | https://purchaser.com.pk/schneider-selector-switch-harmony-xb4-metal-black-22mm-long-handle-3positions-stay-put-2no/,No,Included in combined total,in_flight_now,track_in_flight_order,replacement_part,replace_or_procure,ordered_in_flight,needs_confirmation,"Price included in PKR 31,900 combined selector-switch order total logged on 2-position row.",ordered/in-flight,,,,,Parts,39,INV-0038,P1 - In flight / immediate,1,decision_or_timing,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
Body mount shims/spacers alignment pack,,Local machine shop / MTL washer stock,No,"Ordered (Millat, not yet paid)",pre_tub_refit,prepare_before_trial_fit,replacement_part,replace_or_procure,ordered_in_flight,needs_confirmation,"Active required purchase item from Procurement_Pass2. | Tub refit locked to original OEM mount locations; no custom offset mounting. | P2 active batch confirmed 2026-04-15 | Reconciled 2026-04-17: no single retail shim kit was reliable locally; build the thickness stack from washer stock after measuring the body-mount gaps. | Price basis 2026-04-15: alignment shim pack assorted thicknesses for tub leveling. | Local Pakistan shim stack options found: MTL washer stock plus spacer/plate-spacer if a rigid block is needed. | Millat shim stock ordered: M12 flat washers x40, M8 flat washers x20, plate-spacer x4. Not yet paid.",ordered/in-flight,3000-12000,7000,Medium,https://parts.millat.com.pk/product/washer-flat-m12/ ; https://parts.millat.com.pk/product/washer-flat-m8/ ; https://parts.millat.com.pk/product/plate-spacer/ ; local machine-shop cut spacer stack,Parts,13,INV-0012,P2 - Buy before refit,2,P2-A immediate low-risk local procurement (2026-04-15),NEW_ONLY,medium,"photo_group=body_floor; group_photo_count=15; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_preferred
Body-to-chassis mount rubber kit,,Walton Toyota,,,pre_tub_refit,quote_at_walton_toyota,replacement_part,replace_or_procure,planned_or_open,needs_confirmation,"Active required purchase item from Procurement_Pass2. | Tub refit locked to original OEM mount locations; no custom offset mounting. | P2 active batch confirmed 2026-04-15 | Reconciled 2026-04-17: quote-by-dimensions/custom-molded route preferred; verify sleeve fit, hardness and exact mount count against the chassis before payment. | Price basis 2026-04-15: body mount rubber set, local pattern if correct hardness and sleeve fit verified. | Age/condition rule: NEW_ONLY body mount rubbers/sleeves. | Pending quotation at Walton Toyota. Compare genuine Toyota quote against local custom-molded fallback if needed.",Q,15000-60000,30000,High,Walton Toyota quote,Parts,12,INV-0011,P2 - Buy before refit,2,P2-A immediate low-risk local procurement (2026-04-15),NEW_ONLY,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_preferred
Cowl body mounting shim sub-assy (52032-90300),,Walton Toyota,,,pre_tub_refit,quote_at_walton_toyota,replacement_part,replace_or_procure,planned_or_open,needs_confirmation,"Toyota GR Heritage lists 52032-90300 as cowl body mounting shim sub-assy for BJ4#, FJ4# (6903-7902). Pending quotation at Walton Toyota.",Q,,,,Toyota GR Heritage / Walton Toyota quote,Parts,14,INV-0256,P2 - Buy before refit,2,P2-A immediate low-risk local procurement (2026-04-17),NEW_ONLY,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_preferred
Dashboard fascia / auxiliary switch panel (if OEM holes are insufficient),,Pakwheels fabrication shops: https://www.pakwheels.com/accessories-spare-parts/search/-/q_fabrication+shop+lahore/ | OLX fabrication: https://www.olx.com.pk/items/q-automotive-fabrication,No,,pre_dash_refit,fabricate_only_if_required_by_switch_fitup,replacement_part,replace_or_procure,cancelled,cancelled,Only buy/fabricate if right+mid cluster hole count/spacing/depth cannot safely host all required controls. | P2 active batch confirmed 2026-04-15 | Reconciled 2026-04-15: fabricate only if OEM holes cannot safely fit required controls. | Not required: dash hole layout is sufficient for the planned controls.,cancelled,5000-30000,15000,,https://www.pakwheels.com/accessories-spare-parts/search/-/q_fabrication+shop+lahore/ ; https://www.olx.com.pk/items/q-automotive-fabrication,Parts,40,INV-0039,P2 - Buy before refit,6,P2-E conditional fabrication only if switch fit requires it (2026-04-15),BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
Electrical power steering,,Pakwheels Vitz EPS column: https://www.pakwheels.com/accessories-spare-parts/search/-/q_vitz+eps+column/ | Pakwheels Vitz EPS computer: https://www.pakwheels.com/accessories-spare-parts/search/-/q_vitz+eps+computer/,,,pre_tub_refit,buy_complete_eps_column_kit_bilal_ganj_with_inclusion_checklist,replacement_part,replace_or_procure,planned_or_open,needs_confirmation,"Legacy planned item retained; EPS path remains in scope. | P2 active batch confirmed 2026-04-15 | EPS kit must include at minimum: column-assist EPS unit (motor + torque sensor + reduction gear), EPS controller/ECU or integrated control module, matching connectors with pigtails >=150mm, upper+lower intermediate shaft sections with U-joints, steering coupler/spline adapters for FJ40-side fitment, column mount/clamp bracket set + firewall support bracket, heavy feed cable path for 60A fused supply + ignition trigger lead, fail-safe manual steering capability if assist disabled. Bench-test before payment; reject noisy/jerky units or excessive lash. | Age/condition rule: USED_TESTED_OK_MAX_15Y for EPS donor units; bench-test mandatory. | Quote sent 2026-04-17: full Vitz EPS column assembly, matching EPS ECU/controller, full EPS wiring pigtails/connectors, and if available lower output yoke/stub, intermediate shaft/U-joint section, and column mounting clamp/bracket. | Pending quotation via Bilal Ganj. EPS kit still requires donor-column, ECU/controller, pigtails and fitment hardware. | Scope clarification 2026-05-03: current EPS plan is column-assist and does not require engine removal or an engine lift.",Q,54000-136000,90000,High,https://www.pakwheels.com/accessories-spare-parts/search/-/q_vitz+eps+column/ ; https://www.pakwheels.com/accessories-spare-parts/search/-/q_vitz+eps+computer/,Parts,52,INV-0051,P2 - Buy before refit,5,P2-D EPS kit procurement with mandatory inclusion checklist (2026-04-15),USED_TESTED_OK_MAX_15Y,high,"photo_group=chassis_underside; group_photo_count=32; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,bilal_ganj_first_then_online_fallback
"Fastener Kit A: Tub-to-chassis mounts (OEM positions) - M10/M12 class 8.8 bolts, matching nuts, flat+spring washers, sleeves",,MTL Parts,No,"Ordered (Millat, not yet paid)",pre_tub_refit,buy_local_grade_spec_kit,replacement_part,replace_or_procure,ordered_in_flight,needs_confirmation,"Spec qty baseline: M10x1.25 class 8.8 bolts x16, M10 nuts (nyloc + all-metal mix) x24, M10 flat washers x40, M10 spring washers x20, M10 sleeves/spacers x16, M12 class 8.8 bolts x4, M12 nuts x6, M12 flat washers x12, M12 spring washers x6. Buy +20% spares. | P2 active batch confirmed 2026-04-15 | Reconciled 2026-04-17: prioritize as low-risk, locally available buy-first item. | Price basis 2026-04-15: Kit A detailed qty with +20% spares. | Age/condition rule: NEW_ONLY class-marked structural hardware. | Match removed bolt length and pitch against sample hardware during teardown. | Millat fastener cart placed; not yet received or paid.",ordered/in-flight,15000-35000,24000,High,https://parts.millat.com.pk/product/screw-m10-x20mm/ ; https://parts.millat.com.pk/product/nut-m10/ ; https://parts.millat.com.pk/product/nylon-nut-m10/ ; https://parts.millat.com.pk/product/washer-lock-m10/ ; https://parts.millat.com.pk/product/bolt-m12-l-55/ ; https://parts.millat.com.pk/product/bolt-m12-l-70/ ; https://parts.millat.com.pk/product/nut-m12/ ; https://parts.millat.com.pk/product/washer-flat-m12/ ; https://parts.millat.com.pk/product/screw-12-point-head-m12x1-5-l-70/,Manual,,INV-0243,P2 - Buy before refit,2,P2-A immediate low-risk local procurement (2026-04-15),NEW_ONLY,medium,manual_specification_update_2026_04_15,high,low,local_pk_preferred
"Fastener Kit B: Body panel/bracket hardware - M6/M8 class 8.8 flange bolts, nyloc nuts, washers",,MTL Parts,No,"Ordered (Millat, not yet paid)",pre_tub_refit,buy_local_grade_spec_kit,replacement_part,replace_or_procure,ordered_in_flight,needs_confirmation,"Spec qty baseline: M6x1.0 class 8.8 bolts (assorted lengths 12/16/20/25mm) x220, M6 nyloc nuts x160, M6 flange nuts x80, M6 flat washers x300, M6 spring washers x140, M8x1.25 class 8.8 bolts (16/20/25/30mm) x120, M8 nyloc nuts x90, M8 flange nuts x40, M8 flat washers x180, M8 spring washers x90. | P2 active batch confirmed 2026-04-15 | Reconciled 2026-04-17: prioritize as low-risk, locally available buy-first item. | Price basis 2026-04-15: Kit B detailed qty with mixed lengths and washers. | Age/condition rule: NEW_ONLY class-marked structural hardware. | Missing M6 20mm / 25mm and M8 25mm lengths, plus the lock-nut and spring-washer top-up, have been split into Royal Hardware quote rows below. | Working split guess from kit ratios: M6 x12=59, M6 x16=51, M6 x20=42, M6 x25=68; M8 x16=42, M8 x20=36, M8 x25=30, M8 x30=12. Remove M8 x45 cart line for this kit. | Millat fastener cart placed; not yet received or paid.",ordered/in-flight,18000-40000,28000,High,https://parts.millat.com.pk/product/bolt-m6-x-16/ ; https://parts.millat.com.pk/product/screw-m6x16/ ; https://parts.millat.com.pk/product/nut-hex-m6/ ; https://parts.millat.com.pk/product/nut-m8/ ; https://parts.millat.com.pk/product/washer-flat-m6-2/ ; https://parts.millat.com.pk/product/washer-flat-m8/ ; https://parts.millat.com.pk/product/plain-washer-m-8/ ; https://parts.millat.com.pk/product/washer-lock-m6/ ; https://parts.millat.com.pk/product/washer-lock-3-8/ ; https://parts.millat.com.pk/product/bolt-m8-x-40mm/ ; https://parts.millat.com.pk/product/bolt-m8-x-45mm/,Manual,,INV-0244,P2 - Buy before refit,2,P2-A immediate low-risk local procurement (2026-04-15),NEW_ONLY,medium,manual_specification_update_2026_04_15,high,low,local_pk_preferred
