channel,message_id,date_utc,category,subcategory,source,subject_or_ref,product_or_topic,part_number_or_code,amount_pkr,status,action_required,notes
email,19e392e32e93eddd,2026-05-18T03:43:07Z,supplier_communication,receipt_payment,Daraz,"Yay, your Order 243331393680938 is confirmed!","Yay, your Order #243331393680938 is confirmed! Yay, your order is confirmed! --> Yay, your order is confirmed! Dear pridmoredave, Thank you for shopping with Daraz. We have received your Order 243331393680938 on 18 May 2026 11:42. We're excited for you to rece",243331393680938,946,payment_or_receipt_signal,yes,"Imported by Gmail MCP; reason=supplier_order_signal; hits=epoxy,daraz,confirmed,delivered,delivery,order,paid,payment"
email,19e392e35701144b,2026-05-18T03:43:08Z,supplier_communication,receipt_payment,Daraz,"Yay, your Order 243331393480938 is confirmed!","Yay, your Order #243331393480938 is confirmed! Yay, your order is confirmed! --> Yay, your order is confirmed! Dear pridmoredave, Thank you for shopping with Daraz. We have received your Order 243331393480938 on 18 May 2026 11:42. We're excited for you to rece",243331393480938,869,payment_or_receipt_signal,yes,"Imported by Gmail MCP; reason=supplier_order_signal; hits=daraz,confirmed,delivered,delivery,order,paid,payment"
email,19e3a061ba556e9f,2026-05-18T07:38:57Z,supplier_communication,post_purchase_feedback,Daraz,Thank You for Choosing Daraz 🛍️ How Was Your Experience? 😊,"96 Dear David Pridmore, Thank you for choosing Daraz as your preferred platform! We would love to hear about your recent shopping experience with Daraz. Share with us what went well or could have been done better in this 2-minute survey.Simply click on the rat",,0,feedback_requested,no,"Imported by Gmail MCP; reason=supplier_order_signal; hits=daraz,feedback"
email,19e3c3255a3b7cd6,2026-05-18T17:46:31Z,supplier_communication,post_purchase_feedback,Toolsmart.Pk,"Hi David, share your thoughts about Harden 4'' Heavy Duty Table Vice 100mm / 9 Kg","Let us know what you think about order #TM25550. Trouble viewing email? Hi David, We fulfilled your order from our store ToolsMart.pk 13 days ago and would love to get your feedback. What do you think about Harden 4'' Heavy Duty Table Vice 100mm / 9 Kg ? Ratin",TM25550,0,feedback_requested,no,"Imported by Gmail MCP; reason=supplier_order_signal; hits=toolsmart,toolsmart.pk,feedback,order,review"
email,19e3d1ac680973f9,2026-05-18T22:00:25Z,supplier_communication,post_purchase_feedback,Toolsmart.Pk,"Hi David, share your thoughts about Wadfow 7 Pcs Body And Fender Hammer Set WHZ1D07","Let us know what you think about order #TM25493. Trouble viewing email? Hi David, We fulfilled your order from our store ToolsMart.pk 13 days ago and would love to get your feedback. What do you think about Wadfow 7 Pcs Body And Fender Hammer Set WHZ1D07 ? Rat",TM25493|WHZ1D07,0,feedback_requested,no,"Imported by Gmail MCP; reason=supplier_order_signal; hits=toolsmart,toolsmart.pk,feedback,order,review"
email,19e3fbe04164503a,2026-05-19T10:17:56Z,supplier_communication,receipt_payment,Daraz,Delivery of your Order 243331393680938,"Your parcel(s) have been delivered! --> Your parcel(s) have been delivered! Dear pridmoredave, We are excited to inform you that your Order 243331393680938 has been successfully delivered. As we'd love to hear your thoughts on your new purchase, please do take",243331393680938,946,payment_or_receipt_signal,yes,"Imported by Gmail MCP; reason=supplier_order_signal; hits=epoxy,daraz,delivered,delivery,invoice,order,paid,payment,review"
email,19e4451ad2f34fdc,2026-05-20T07:37:42Z,supplier_communication,post_purchase_feedback,Daraz,Thank You for Choosing Daraz 🛍️ How Was Your Experience? 😊,"96 Dear David Pridmore, Thank you for choosing Daraz as your preferred platform! We would love to hear about your recent shopping experience with Daraz. Share with us what went well or could have been done better in this 2-minute survey.Simply click on the rat",,0,feedback_requested,no,"Imported by Gmail MCP; reason=supplier_order_signal; hits=daraz,feedback"
email,19e454fa12c67544,2026-05-20T12:15:02Z,project_update,order_quote_tracking,Alibaba,dodge charger front bumper: we notice that you viewed this last week,Now available at lower prices—Secure bulk orders ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌,,0,order_or_project_signal,yes,"Imported by Gmail MCP; reason=project_order_signal; hits=fj40,toyota,delivery"
email,19e49791915fa538,2026-05-21T07:38:51Z,supplier_communication,post_purchase_feedback,Daraz,Thank You for Choosing Daraz 🛍️ How Was Your Experience? 😊,"96 Dear David Pridmore, Thank you for choosing Daraz as your preferred platform! We would love to hear about your recent shopping experience with Daraz. Share with us what went well or could have been done better in this 2-minute survey.Simply click on the rat",,0,feedback_requested,no,"Imported by Gmail MCP; reason=supplier_order_signal; hits=daraz,feedback"
email,19e4a0f6ec267a11,2026-05-21T10:23:01Z,project_update,order_quote_tracking,Alibaba,"Hi David, your next sourcing find",Picked from products viewed: RHD Painted Land Cruiser 45 FJ45 Car Body Shell Cab ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌,,0,order_or_project_signal,yes,"Imported by Gmail MCP; reason=project_order_signal; hits=land cruiser,suspension,delivery"
email,19e4a6360441894b,2026-05-21T11:54:42Z,project_update,order_quote_tracking,Alibaba,dodge charger front bumper: start from low MOQs,Order exactly what you need ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ,SCS009,0,order_or_project_signal,yes,"Imported by Gmail MCP; reason=project_order_signal; hits=fj40,toyota,delivery,order"
email,19e4a66145e96435,2026-05-21T11:57:42Z,supplier_communication,receipt_payment,Daraz,Delivery of your Order 243331393480938,"Your parcel(s) have been delivered! --> Your parcel(s) have been delivered! Dear pridmoredave, We are excited to inform you that your Order 243331393480938 has been successfully delivered. As we'd love to hear your thoughts on your new purchase, please do take",243331393480938,869,payment_or_receipt_signal,yes,"Imported by Gmail MCP; reason=supplier_order_signal; hits=daraz,delivered,delivery,invoice,order,paid,payment,review"
