channel,message_id,date_utc,category,subcategory,source,subject_or_ref,product_or_topic,part_number_or_code,amount_pkr,status,action_required,notes
email,19f839c8c0dc1659,2026-07-21T07:38:21Z,supplier_communication,post_purchase_feedback,Daraz,Thank You for Choosing Daraz 🛍️ How Was Your Experience? 😊,"96 Dear David Pridmore, Thank you for choosing Daraz as your preferred platform! We would love to hear about your recent shopping experience with Daraz. Share with us what went well or could have been done better in this 2-minute survey.Simply click on the rat",,0,feedback_requested,no,"Imported by Gmail MCP; reason=supplier_order_signal; hits=daraz,feedback"
email,19f84fa60610d138,2026-07-21T14:00:27Z,project_update,order_quote_tracking,Cruiser Corps,Check out our Disc Brake Conversion Kits.,"https://cruisercorps.com/ https://cruisercorps.com/collections/brakes Check Out Our Disc Brake Conversion Kits! Upgrade your FJ40, FJ45, or FJ55 with our top-of-the-line aftermarket Disc Brake Conversion Kits. Perfect for vehicles made between 8/1970 and 8/198",HASSLE-FREE-30-DAY-RETURNS,0,order_or_project_signal,yes,"Imported by Gmail MCP; reason=project_order_signal; hits=brake,fj40"
email,19f86a9380524117,2026-07-21T21:51:03Z,project_update,shipment_update,Standard Electric Co.,Order 3327 confirmed,Thank you for your order! ***************************************************************** Standard Electric Co. ( https://standardstores.pk?syclid=af3b5eb5-990b-4c3e-a3e4-4abda38d37b2 ) ***************************************************************** Order ,AF3B5EB5-990B-4C3E-A3E4-4ABDA38D37B2|BDE8-E5B816764732,695,shipment_tracking_signal,yes,"Imported by Gmail MCP; reason=project_order_signal; hits=connector,confirmed,delivery,order,paid,payment,shipped"
email,19f86aceeb6fad60,2026-07-21T21:55:07Z,supplier_communication,order_quote_tracking,Autohub,Order 1763669 confirmed,HOME ( http://autohub.pk/?syclid=041091ea-4fb1-4319-9059-3d450cecb173 ) FEATURED ( http://autohub.pk/collections/featured?syclid=e00f582c-c4ab-4886-9fc3-2a62163fca70 ) Thanks for your purchase! ------------------------- This email is just to confirm your order,1763669,3748,order_or_project_signal,yes,"Imported by Gmail MCP; reason=supplier_order_signal; hits=autohub,confirmed,delivered,order"
email,19f8761a9f9f92db,2026-07-22T01:12:31Z,project_update,shipment_update,GARI PARTS,GARI PARTS Order O#1715 confirmed,"Order Confirmed Gari Parts Order O#1715 *************** Order Confirmed *************** Hi David, Thank you for choosing GariParts.com We've successfully received your order and our team is currently preparing your items for dispatch. Your products will go thr",DB9F-4FA0-9AA9-E4E64039B2F3,12073,shipment_tracking_signal,yes,"Imported by Gmail MCP; reason=project_order_signal; hits=brake,land cruiser,toyota,confirmed,delivery,dispatch,order,payment"
email,19f8949ec7a86321,2026-07-22T10:05:50Z,supplier_communication,shipment_update,Autohub,A shipment from order 1763669 is on the way,"Dear David Pridmore, All of the items from order 1763669 have now been shipped: 1x AMSOIL Synthetic Poly Off Road Mos2 Synthetic Grease #2 They are being shipped via courier service to the following address: David Pridmore House 287, Street 24/1, K block, DHA ",1763669,0,shipment_tracking_signal,yes,"Imported by Gmail MCP; reason=supplier_order_signal; hits=autohub,postex,order,shipped,tracking"
email,19f8a3c0f5b8ed36,2026-07-22T14:30:18Z,project_update,order_quote_tracking,Cruiser Corps,Check out our Disc Brake Conversion Kits.,"https://cruisercorps.com/ https://cruisercorps.com/collections/brakes Check Out Our Disc Brake Conversion Kits! Upgrade your FJ40, FJ45, or FJ55 with our top-of-the-line aftermarket Disc Brake Conversion Kits. Perfect for vehicles made between 8/1970 and 8/198",HASSLE-FREE-30-DAY-RETURNS,0,order_or_project_signal,yes,"Imported by Gmail MCP; reason=project_order_signal; hits=brake,fj40"
email,19f8d1af1a1e3da5,2026-07-23T03:52:17Z,product,order_quote_tracking,Daraz,Standard Chartered: Transaction Alert,"Alerts CASA Dear Client, Alerts July 23 2026, 08:52 AM Your Standard Chartered Debit Card no. 52903xxxxxxxx8509 has been used to make the following transaction : Amount : PKR 6,539.00 Date : 23-07-26 at : Daraz. Don't miss out on the latest Standard Chartered ",,6539,order_or_project_signal,yes,Imported by Gmail MCP; reason=supplier_order_signal; hits=daraz
email,19f8d1a59e117e52,2026-07-23T03:52:20Z,supplier_communication,receipt_payment,Daraz,"Yay, your Order 246729588080938 is confirmed!","Yay, your Order #246729588080938 is confirmed! Yay, your order is confirmed! --> Yay, your order is confirmed! Dear pridmoredave, Thank you for shopping with Daraz. We have received your Order 246729588080938 on 23 July 2026 11:51. We're excited for you to rec",246729588080938|MALIKTARDERS786,6539,payment_or_receipt_signal,yes,"Imported by Gmail MCP; reason=supplier_order_signal; hits=daraz,confirmed,delivered,delivery,order,paid,payment"
email,19f8e26716259977,2026-07-23T08:45:11Z,project_update,shipment_update,GARI PARTS,A shipment from order O#1715 is on the way,"Your order is on the way GARI PARTS Order O#1715 ------------------------ Your order is on the way ------------------------ Your order is on the way. Track your shipment to see the delivery status. View your order ( "" class= ) or Visit our store ( https://gari",KI7539252162|DBEE0AC47401|LEOPARDSCOURIER,0,shipment_tracking_signal,yes,"Imported by Gmail MCP; reason=project_order_signal; hits=brake,land cruiser,toyota,delivery,order,tracking"
