channel,message_id,date_utc,category,subcategory,source,subject_or_ref,product_or_topic,part_number_or_code,amount_pkr,status,action_required,notes
email,19fadd1449e1e4db,2026-07-29T12:20:00Z,project_update,order_quote_tracking,The Medium Newsletter,Mysteries in the paint,"Hidden women, forgotten artists, and the poet with no hands. (Issue #439) Mysteries in the paint Hidden women, forgotten artists, and the poet with no hands. (Issue #439) By The Medium Blog (https://medium.com/blog?source=email-623e23a7d13f-1785327576071-newsl",1785327576071|EMAIL-623E23A7D13F-1785327576071-NEWSLETTER|BF3F56C7DEEC|FB08506A8D5C|FB08506A8D5C-----------------------|JACQUES-LOUIS-DAVID-F003F9401C33|WHO-WAS-LEVINA-TEERLINC-BRITAINS-MOST-FAMOUS-FORGOTTEN-ARTIST-F8E65F157C46|HOW-PRIDE-IS-LIKE-INDEPENDENCE-DAY-F0446B8D9A3C|HERES-WHAT-I-CUT-FROM-MY-NY-TIMES-LETTER-ON-QUEER-V-GAY-26328C8DE87E|NEWSLETTERV3ID|IQ-101|WORK-AT-MEDIUM-959D1A85284E,0,order_or_project_signal,yes,Imported by Gmail MCP; reason=project_order_signal; hits=paint
email,19fae48a9a9c5df9,2026-07-29T14:30:23Z,project_update,order_quote_tracking,Cruiser Corps,Check out our Weber Carb Kits!,"https://cruisercorps.com/ https://cruisercorps.com/collections/fuel Check Out Our Weber Carb Kits! Engineered to fit - designed to perform. Our weber carburetor conversion kits are perfect for your FJ40, FJ45, FJ55 and FJ60. Check out Weber Carburetor Conversi",WEBER-CARBURETOR-CONVERSION-KIT-38MM-1969-9-1973|HASSLE-FREE-30-DAY-RETURNS,0,order_or_project_signal,yes,Imported by Gmail MCP; reason=project_order_signal; hits=fj40
email,19fb0612f05fad09,2026-07-29T23:19:14Z,product,order_quote_tracking,Powerhouse,"David, 2 days left. Anex up to 50% OFF.","Induction Cooker from PKR 15,550, Roti Maker, Juicer & more. Ends 31 July ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ",AG-826|AG-3157|AG-1087|AG-195|AG-3073|AG-2127|AG-2029|AG-2174,48380,order_or_project_signal,yes,Imported by Gmail MCP; reason=supplier_order_signal; hits=powerhouse
email,19fb345e72e2ab11,2026-07-30T13:45:28Z,project_update,order_quote_tracking,Cruiser Corps,Check out our Weber Carb Kits!,"https://cruisercorps.com/ https://cruisercorps.com/collections/fuel Check Out Our Weber Carb Kits! Engineered to fit - designed to perform. Our weber carburetor conversion kits are perfect for your FJ40, FJ45, FJ55 and FJ60. Check out Weber Carburetor Conversi",WEBER-CARBURETOR-CONVERSION-KIT-38MM-1969-9-1973|HASSLE-FREE-30-DAY-RETURNS,0,order_or_project_signal,yes,Imported by Gmail MCP; reason=project_order_signal; hits=fj40
email,19fb71ba460dfc80,2026-07-31T07:03:53Z,supplier_communication,order_quote_tracking,Powerhouse,It's been 3 months David. Here's Upto 55% OFF to fix that.,"Come back and unlock Upto 55% OFF + a Free Gift worth Rs 1,500. Code inside ;) ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌",,1500,order_or_project_signal,yes,"Imported by Gmail MCP; reason=supplier_order_signal; hits=powerhouse,order"
email,19fbf97d1be1002c,2026-08-01T23:10:09Z,product,order_quote_tracking,Daraz,Standard Chartered: Transaction Alert,"Alerts CASA Dear Client, Alerts August 02 2026, 04:10 AM Your Standard Chartered Debit Card no. 52903xxxxxxxx8509 has been used to make the following transaction : Amount : PKR 11,022.00 Date : 03-08-26 at : Daraz. Don't miss out on the latest Standard Charter",,11022,order_or_project_signal,yes,Imported by Gmail MCP; reason=supplier_order_signal; hits=daraz
email,19fbf97a3bb50f16,2026-08-01T23:10:12Z,supplier_communication,receipt_payment,Daraz,"Yay, your Order 246057471480938 is confirmed!","Yay, your Order #246057471480938 is confirmed! Yay, your order is confirmed! --> Yay, your order is confirmed! Dear pridmoredave, Thank you for shopping with Daraz. We have received your Order 246057471480938 on 02 August 2026 07:09. We're excited for you to r",246057471480938,4569,payment_or_receipt_signal,yes,"Imported by Gmail MCP; reason=supplier_order_signal; hits=ac,daraz,confirmed,delivered,delivery,order,paid,payment"
email,19fbf97a52942da6,2026-08-01T23:10:12Z,supplier_communication,receipt_payment,Daraz,"Yay, your Order 246057471280938 is confirmed!","Yay, your Order #246057471280938 is confirmed! Yay, your order is confirmed! --> Yay, your order is confirmed! Dear pridmoredave, Thank you for shopping with Daraz. We have received your Order 246057471280938 on 02 August 2026 07:09. We're excited for you to r",246057471280938|DEG-009,1646,payment_or_receipt_signal,yes,"Imported by Gmail MCP; reason=supplier_order_signal; hits=daraz,confirmed,delivered,delivery,order,paid,payment"
email,19fbf97a59fcef7a,2026-08-01T23:10:12Z,supplier_communication,receipt_payment,Daraz,"Yay, your Order 246057471780938 is confirmed!","Yay, your Order #246057471780938 is confirmed! Yay, your order is confirmed! --> Yay, your order is confirmed! Dear pridmoredave, Thank you for shopping with Daraz. We have received your Order 246057471780938 on 02 August 2026 07:09. We're excited for you to r",246057471780938,4807,payment_or_receipt_signal,yes,"Imported by Gmail MCP; reason=supplier_order_signal; hits=paint,primer,welding,daraz,confirmed,delivered,delivery,order,paid,payment"
email,19fc175a60b99bf2,2026-08-02T07:21:44Z,product,order_quote_tracking,Powerhouse,The products everyone’s reordering now avail Upto 55% OFF,"Best-selling smart home, lighting & solar with 55% OFF + Free Gift still active. ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌",AG-646|REF-005,45360,order_or_project_signal,yes,Imported by Gmail MCP; reason=supplier_order_signal; hits=powerhouse
